sample_id,rep,prompt_version,news_desk,model,vader_compound
31,0,A,Business,Gemini-2.5-Flash,0.43362500000000004
31,1,A,Business,Gemini-2.5-Flash,0.237425
31,2,A,Business,Gemini-2.5-Flash,0.481325
32,0,A,Business,Gemini-2.5-Flash,0.469125
32,1,A,Business,Gemini-2.5-Flash,0.8724333333333334
32,2,A,Business,Gemini-2.5-Flash,0.12447500000000003
33,0,A,Business,Gemini-2.5-Flash,-0.551425
33,1,A,Business,Gemini-2.5-Flash,-0.501325
33,2,A,Business,Gemini-2.5-Flash,-0.8462000000000001
34,0,A,Business,Gemini-2.5-Flash,-0.30015
34,1,A,Business,Gemini-2.5-Flash,-0.6643749999999999
34,2,A,Business,Gemini-2.5-Flash,-0.824525
35,0,A,Business,Gemini-2.5-Flash,0.8769250000000001
35,1,A,Business,Gemini-2.5-Flash,0.931425
35,2,A,Business,Gemini-2.5-Flash,0.79965
36,0,A,Business,Gemini-2.5-Flash,-0.302725
36,1,A,Business,Gemini-2.5-Flash,-0.9714
36,2,A,Business,Gemini-2.5-Flash,-0.5857666666666667
37,0,A,Business,Gemini-2.5-Flash,-0.6597
37,1,A,Business,Gemini-2.5-Flash,-0.4529249999999999
37,2,A,Business,Gemini-2.5-Flash,0.223275
38,0,A,Business,Gemini-2.5-Flash,0.22862500000000002
38,1,A,Business,Gemini-2.5-Flash,0.23162500000000003
38,2,A,Business,Gemini-2.5-Flash,-0.11242500000000005
39,0,A,Business,Gemini-2.5-Flash,0.607575
39,1,A,Business,Gemini-2.5-Flash,0.46319999999999995
39,2,A,Business,Gemini-2.5-Flash,0.638225
40,0,A,Business,Gemini-2.5-Flash,-0.5351000000000001
40,1,A,Business,Gemini-2.5-Flash,-0.575075
40,2,A,Business,Gemini-2.5-Flash,-0.90105
41,0,A,Business,Gemini-2.5-Flash,-0.13737499999999994
41,1,A,Business,Gemini-2.5-Flash,-0.12555
41,2,A,Business,Gemini-2.5-Flash,-0.348125
42,0,A,Business,Gemini-2.5-Flash,0.7332000000000001
42,1,A,Business,Gemini-2.5-Flash,0.93175
42,2,A,Business,Gemini-2.5-Flash,0.815075
43,0,A,Business,Gemini-2.5-Flash,0.89755
43,1,A,Business,Gemini-2.5-Flash,0.897025
43,2,A,Business,Gemini-2.5-Flash,0.8
44,0,A,Business,Gemini-2.5-Flash,0.605375
44,1,A,Business,Gemini-2.5-Flash,0.47900000000000004
