prompt,n_biz,n_foreign,biz_mean,biz_se,foreign_mean,foreign_se,center,gap
NYT,40,40,-0.6870493976287616,0.054828672749498084,-0.5927159997077494,0.07453731086506228,-0.6398826986682555,-0.09433339792101225
A,40,40,0.0864336485489831,0.08535133171498094,0.4434414910778287,0.06938623748709137,0.2649375698134059,-0.3570078425288456
B,40,40,0.22508173088434785,0.09079904131538412,0.5785596739600603,0.06331148127959965,0.401820702422204,-0.3534779430757124
D,40,40,-0.1680431562817022,0.08593571915684775,0.20621033640474912,0.0710569901775861,0.019083590061523464,-0.3742534926864513
E,40,40,-0.1313141291295728,0.07579460983169299,0.24483872257438227,0.07079565762832095,0.05676229672240474,-0.37615285170395507
