prompt,desk,n,gpt_mean,nyt_mean,deviation_mean,wilcoxon_stat,p_value
A,Business,40,0.08643364854898311,-0.6870493976287616,0.7734830461777448,11.0,1.000444171950221e-10
A,Foreign,40,0.4434414910778287,-0.5927159997077494,1.0361574907855782,6.0,2.546585164964199e-11
B,Business,40,0.22508173088434785,-0.6870493976287616,0.9121311285131096,8.0,4.547473508864641e-11
B,Foreign,40,0.5785596739600603,-0.5927159997077494,1.1712756736678096,0.0,1.8189894035458565e-12
D,Business,40,-0.1680431562817022,-0.6870493976287616,0.5190062413470594,48.0,4.474713932722807e-08
D,Foreign,40,0.20621033640474912,-0.5927159997077494,0.7989263361124985,19.0,5.584297468885779e-10
E,Business,40,-0.1313141291295728,-0.6870493976287616,0.5557352684991889,44.0,2.6917405193671584e-08
E,Foreign,40,0.24483872257438227,-0.5927159997077494,0.8375547222821316,26.0,1.9444996723905206e-09
