model,prompt,desk,n,llm_mean,nyt_mean,deviation,wilcoxon_stat,p_value
GPT-4o-mini,A,Business,40,0.08643364854898311,-0.6870493976287616,0.7734830461777448,11.0,1.000444171950221e-10
GPT-4o-mini,A,Foreign,40,0.4434414910778287,-0.5927159997077494,1.0361574907855782,6.0,2.546585164964199e-11
GPT-4o-mini,E,Business,40,-0.1313141291295728,-0.6870493976287616,0.5557352684991889,44.0,2.6917405193671584e-08
GPT-4o-mini,E,Foreign,40,0.24483872257438227,-0.5927159997077494,0.8375547222821316,26.0,1.9444996723905206e-09
Gemini-2.5-Flash,A,Business,40,-0.18753630047050035,-0.6870493976287616,0.4995130971582613,78.0,1.1621450539678335e-06
Gemini-2.5-Flash,A,Foreign,40,0.10160883269115908,-0.5927159997077494,0.6943248323989084,35.0,7.839844329282641e-09
Gemini-2.5-Flash,E,Business,40,-0.26278381180721533,-0.6870493976287616,0.42426558582154633,92.0,4.153314876020886e-06
Gemini-2.5-Flash,E,Foreign,40,-0.007524799484437811,-0.5927159997077494,0.5851912002233115,67.0,3.8751750253140926e-07
