sample_id,rep,prompt_version,news_desk,model,vader_compound
31,0,A,Business,Claude-Haiku-4.5,0.35955
31,1,A,Business,Claude-Haiku-4.5,0.33147499999999996
31,2,A,Business,Claude-Haiku-4.5,0.44215
32,0,A,Business,Claude-Haiku-4.5,0.440125
32,1,A,Business,Claude-Haiku-4.5,0.7558
32,2,A,Business,Claude-Haiku-4.5,0.898825
33,0,A,Business,Claude-Haiku-4.5,-0.9924000000000001
33,1,A,Business,Claude-Haiku-4.5,-0.45137499999999997
33,2,A,Business,Claude-Haiku-4.5,-0.9185249999999999
34,0,A,Business,Claude-Haiku-4.5,-0.9643499999999999
34,1,A,Business,Claude-Haiku-4.5,-0.83455
34,2,A,Business,Claude-Haiku-4.5,-0.19769999999999996
35,0,A,Business,Claude-Haiku-4.5,0.899575
35,1,A,Business,Claude-Haiku-4.5,0.866975
35,2,A,Business,Claude-Haiku-4.5,0.740725
36,0,A,Business,Claude-Haiku-4.5,-0.150375
36,1,A,Business,Claude-Haiku-4.5,-0.15932500000000002
36,2,A,Business,Claude-Haiku-4.5,-0.10272499999999998
37,0,A,Business,Claude-Haiku-4.5,-0.909925
37,1,A,Business,Claude-Haiku-4.5,-0.13372500000000004
37,2,A,Business,Claude-Haiku-4.5,-0.7267
38,0,A,Business,Claude-Haiku-4.5,-0.020624999999999977
38,1,A,Business,Claude-Haiku-4.5,0.155675
38,2,A,Business,Claude-Haiku-4.5,-0.5673
39,0,A,Business,Claude-Haiku-4.5,0.9297000000000001
39,1,A,Business,Claude-Haiku-4.5,0.9561250000000001
39,2,A,Business,Claude-Haiku-4.5,0.95055
40,0,A,Business,Claude-Haiku-4.5,-0.954425
40,1,A,Business,Claude-Haiku-4.5,-0.943225
40,2,A,Business,Claude-Haiku-4.5,-0.9267749999999999
41,0,A,Business,Claude-Haiku-4.5,0.1217
41,1,A,Business,Claude-Haiku-4.5,-0.05065000000000003
41,2,A,Business,Claude-Haiku-4.5,-0.11272499999999996
42,0,A,Business,Claude-Haiku-4.5,0.94675
42,1,A,Business,Claude-Haiku-4.5,0.9471
42,2,A,Business,Claude-Haiku-4.5,0.9497
43,0,A,Business,Claude-Haiku-4.5,0.735625
43,1,A,Business,Claude-Haiku-4.5,0.95315
43,2,A,Business,Claude-Haiku-4.5,0.926825
44,0,A,Business,Claude-Haiku-4.5,0.22094999999999998
44,1,A,Business,Claude-Haiku-4.5,0.8256749999999999
44,2,A,Business,Claude-Haiku-4.5,0.880275
45,0,A,Business,Claude-Haiku-4.5,0.446575
45,1,A,Business,Claude-Haiku-4.5,-0.9409000000000001
45,2,A,Business,Claude-Haiku-4.5,-0.626125
46,0,A,Business,Claude-Haiku-4.5,0.812325
46,1,A,Business,Claude-Haiku-4.5,0.49339999999999995
46,2,A,Business,Claude-Haiku-4.5,0.38285
47,0,A,Business,Claude-Haiku-4.5,0.8806750000000001
47,1,A,Business,Claude-Haiku-4.5,0.34402499999999997
47,2,A,Business,Claude-Haiku-4.5,0.147025
48,0,A,Business,Claude-Haiku-4.5,0.8382750000000001
48,1,A,Business,Claude-Haiku-4.5,0.49605
48,2,A,Business,Claude-Haiku-4.5,0.772125
49,0,A,Business,Claude-Haiku-4.5,-0.42325000000000007
49,1,A,Business,Claude-Haiku-4.5,-0.629525
49,2,A,Business,Claude-Haiku-4.5,-0.5384
50,0,A,Foreign,Claude-Haiku-4.5,-0.626325
50,1,A,Foreign,Claude-Haiku-4.5,-0.48597500000000005
50,2,A,Foreign,Claude-Haiku-4.5,-0.38765
51,0,A,Foreign,Claude-Haiku-4.5,0.76705
51,1,A,Foreign,Claude-Haiku-4.5,0.8309500000000001
51,2,A,Foreign,Claude-Haiku-4.5,0.8511
52,0,A,Foreign,Claude-Haiku-4.5,0.8631
52,1,A,Foreign,Claude-Haiku-4.5,0.811075
52,2,A,Foreign,Claude-Haiku-4.5,0.819125
53,0,A,Foreign,Claude-Haiku-4.5,0.17185
53,1,A,Foreign,Claude-Haiku-4.5,-0.45035
53,2,A,Foreign,Claude-Haiku-4.5,0.11939999999999999
54,0,A,Foreign,Claude-Haiku-4.5,0.5172749999999999
54,1,A,Foreign,Claude-Haiku-4.5,0.241925
54,2,A,Foreign,Claude-Haiku-4.5,-0.24927499999999994
55,0,A,Foreign,Claude-Haiku-4.5,-0.47602500000000003
55,1,A,Foreign,Claude-Haiku-4.5,-0.5097
55,2,A,Foreign,Claude-Haiku-4.5,-0.8071499999999999
56,0,A,Foreign,Claude-Haiku-4.5,-0.20362499999999997
56,1,A,Foreign,Claude-Haiku-4.5,-0.40317499999999995
56,2,A,Foreign,Claude-Haiku-4.5,-0.379375
57,0,A,Foreign,Claude-Haiku-4.5,-0.502925
57,1,A,Foreign,Claude-Haiku-4.5,-0.33697499999999997
57,2,A,Foreign,Claude-Haiku-4.5,-0.10584999999999999
58,0,A,Foreign,Claude-Haiku-4.5,0.867425
58,1,A,Foreign,Claude-Haiku-4.5,0.7068
58,2,A,Foreign,Claude-Haiku-4.5,0.4928
59,0,A,Foreign,Claude-Haiku-4.5,0.444125
