prompt,n_biz,n_foreign,biz_mean,foreign_mean,biz_std,foreign_std,center,gap,biz_fidelity,for_fidelity
NYT,40,40,-0.6870493976287616,-0.5927159997077494,0.3467669739448412,0.47141534599522456,-0.6398826986682555,-0.09433339792101225,8.483829444591986,8.870101716463125
A,120,120,0.08643364854898311,0.4434414910778287,0.6006776209678626,0.5075157541672833,0.2649375698134059,-0.3570078425288456,9.339928675444524,6.46952558001582
B,120,120,0.22508173088434788,0.5785596739600604,0.6361887249418439,0.4599824710388012,0.40182070242220413,-0.35347794307571245,9.719911904393257,5.980300823221609
D,120,120,-0.1680431562817022,0.20621033640474906,0.5997981906514606,0.5436670027165715,0.019083590061523437,-0.37425349268645125,8.521330929657783,6.537001955742201
E,120,120,-0.1313141291295728,0.24483872257438227,0.5542600514914908,0.5661525943160021,0.05676229672240474,-0.37615285170395507,11.259513828248112,6.590202285144304
