sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
24,2,A,Business,Claude-Haiku-4.5,0.48746296035824344,4,1033
25,0,A,Business,Claude-Haiku-4.5,-0.46481904527172446,4,1096
25,1,A,Business,Claude-Haiku-4.5,-0.46057333424687386,4,1077
25,2,A,Business,Claude-Haiku-4.5,-0.2932235258631408,3,963
26,0,A,Business,Claude-Haiku-4.5,-0.9916825908391426,3,898
26,1,A,Business,Claude-Haiku-4.5,-0.951524297677679,4,1041
26,2,A,Business,Claude-Haiku-4.5,-0.9894753739645239,4,1075
27,0,A,Business,Claude-Haiku-4.5,-0.09431205803412013,4,994
27,1,A,Business,Claude-Haiku-4.5,-0.42750923709536437,4,1099
27,2,A,Business,Claude-Haiku-4.5,-0.7708346778526902,4,1070
28,0,A,Business,Claude-Haiku-4.5,-0.6485019959509373,4,1073
28,1,A,Business,Claude-Haiku-4.5,-0.5449087314773351,4,1097
28,2,A,Business,Claude-Haiku-4.5,-0.8281490327014277,3,1063
29,0,A,Business,Claude-Haiku-4.5,0.27645316964481026,4,1167
29,1,A,Business,Claude-Haiku-4.5,0.4630237710662186,4,1069
29,2,A,Business,Claude-Haiku-4.5,-0.003522885497659445,4,1037
30,0,A,Business,Claude-Haiku-4.5,0.5830236365436576,4,968
30,1,A,Business,Claude-Haiku-4.5,-0.2152095972560346,4,1039
30,2,A,Business,Claude-Haiku-4.5,0.032965240883640945,4,1009
31,0,A,Business,Claude-Haiku-4.5,-0.6127017289400101,4,1045
31,1,A,Business,Claude-Haiku-4.5,-0.045005128253251314,4,1058
31,2,A,Business,Claude-Haiku-4.5,-0.46954022557474673,4,1111
32,0,A,Business,Claude-Haiku-4.5,-0.4439675435423851,3,976
32,1,A,Business,Claude-Haiku-4.5,-0.6307630160202583,3,982
32,2,A,Business,Claude-Haiku-4.5,-0.5746570974588394,3,1015
33,0,A,Business,Claude-Haiku-4.5,-0.9658417835307773,4,1151
33,1,A,Business,Claude-Haiku-4.5,-0.9906274878594559,4,1114
33,2,A,Business,Claude-Haiku-4.5,-0.9859914537519217,4,1053
34,0,A,Business,Claude-Haiku-4.5,-0.9668480122927576,4,1066
34,1,A,Business,Claude-Haiku-4.5,-0.9846328235580586,4,1058
34,2,A,Business,Claude-Haiku-4.5,-0.9840978179126978,4,1006
35,0,A,Business,Claude-Haiku-4.5,0.1642067525535822,4,1042
35,1,A,Business,Claude-Haiku-4.5,0.30103219238420326,3,975
35,2,A,Business,Claude-Haiku-4.5,0.5069404781097546,4,1052
36,0,A,Business,Claude-Haiku-4.5,-0.9869910377310589,4,1082
36,1,A,Business,Claude-Haiku-4.5,-0.4780118197668344,4,1021
36,2,A,Business,Claude-Haiku-4.5,-0.9732018962386064,4,1029
37,0,A,Business,Claude-Haiku-4.5,-0.9541233614630377,3,1003
37,1,A,Business,Claude-Haiku-4.5,-0.98085627782469,3,972
37,2,A,Business,Claude-Haiku-4.5,-0.9738467727244521,3,959
38,0,A,Business,Claude-Haiku-4.5,-0.9875288895855192,4,1092
38,1,A,Business,Claude-Haiku-4.5,-0.8275378129910678,4,1079
38,2,A,Business,Claude-Haiku-4.5,-0.9916579617274692,4,1155
39,0,A,Business,Claude-Haiku-4.5,-0.6190295554697514,4,1113
39,1,A,Business,Claude-Haiku-4.5,0.3931994860759005,4,1010
39,2,A,Business,Claude-Haiku-4.5,0.418236901362737,3,1009
40,0,A,Business,Claude-Haiku-4.5,-0.9953566418844275,4,985
40,1,A,Business,Claude-Haiku-4.5,-0.7932687817374244,4,1035
40,2,A,Business,Claude-Haiku-4.5,-0.9964586694647247,3,940
41,0,A,Business,Claude-Haiku-4.5,-0.5100794434547424,4,1088
41,1,A,Business,Claude-Haiku-4.5,-0.5074356747791171,3,1023
41,2,A,Business,Claude-Haiku-4.5,-0.7924417620524764,4,1040
42,0,A,Business,Claude-Haiku-4.5,0.9884534009615891,4,988
42,1,A,Business,Claude-Haiku-4.5,0.9942149579680214,3,935
42,2,A,Business,Claude-Haiku-4.5,0.9864268901583273,4,978
43,0,A,Business,Claude-Haiku-4.5,0.022486426518298686,4,1021
43,1,A,Business,Claude-Haiku-4.5,-0.5293547445908189,4,1027
43,2,A,Business,Claude-Haiku-4.5,-0.05163282877765596,4,1036
44,0,A,Business,Claude-Haiku-4.5,0.017199194058775902,4,1071
44,1,A,Business,Claude-Haiku-4.5,-0.3900110684335232,3,1009
44,2,A,Business,Claude-Haiku-4.5,-0.44899905563215725,4,1037
45,0,A,Business,Claude-Haiku-4.5,-0.8805514682705203,3,964
45,1,A,Business,Claude-Haiku-4.5,-0.9691863618791103,4,1098
45,2,A,Business,Claude-Haiku-4.5,-0.8942744464729913,4,1055
46,0,A,Business,Claude-Haiku-4.5,0.5455930549651384,3,991
46,1,A,Business,Claude-Haiku-4.5,0.06129354859391848,3,1014
46,2,A,Business,Claude-Haiku-4.5,-0.582550013816217,4,1061
47,0,A,Business,Claude-Haiku-4.5,-0.979409799008863,4,1063
47,1,A,Business,Claude-Haiku-4.5,-0.9782834480283782,4,1062
47,2,A,Business,Claude-Haiku-4.5,-0.39849694826019305,3,1006
48,0,A,Business,Claude-Haiku-4.5,-0.7950025266036391,4,1011
48,1,A,Business,Claude-Haiku-4.5,-0.43128979206085205,4,1018
48,2,A,Business,Claude-Haiku-4.5,-0.34450716176070273,4,995
49,0,A,Business,Claude-Haiku-4.5,-0.49222287427013117,3,990
49,1,A,Business,Claude-Haiku-4.5,-0.9921648749150336,3,929
49,2,A,Business,Claude-Haiku-4.5,-0.9912917138232539,3,935
50,0,A,Foreign,Claude-Haiku-4.5,-0.4286741726100445,4,1061
50,1,A,Foreign,Claude-Haiku-4.5,-0.6226018751040101,4,1154
50,2,A,Foreign,Claude-Haiku-4.5,-0.37600836995989084,4,1144
51,0,A,Foreign,Claude-Haiku-4.5,0.030221954608956974,3,1026
51,1,A,Foreign,Claude-Haiku-4.5,0.3592144255526364,4,1142
51,2,A,Foreign,Claude-Haiku-4.5,0.32301577273756266,3,1054
52,0,A,Foreign,Claude-Haiku-4.5,0.6888710185885429,4,1061
52,1,A,Foreign,Claude-Haiku-4.5,0.9738533332323035,3,996
52,2,A,Foreign,Claude-Haiku-4.5,0.7589296052853266,3,996
53,0,A,Foreign,Claude-Haiku-4.5,-0.9874525028280914,3,1016
53,1,A,Foreign,Claude-Haiku-4.5,-0.6758849502851566,3,984
53,2,A,Foreign,Claude-Haiku-4.5,-0.7182999757739404,3,983
54,0,A,Foreign,Claude-Haiku-4.5,0.288828962482512,4,1074
54,1,A,Foreign,Claude-Haiku-4.5,0.2802969482727349,4,1059
54,2,A,Foreign,Claude-Haiku-4.5,0.44275756444161135,3,1013
55,0,A,Foreign,Claude-Haiku-4.5,0.013178577336172262,3,984
55,1,A,Foreign,Claude-Haiku-4.5,-0.4463965000274281,3,1044
55,2,A,Foreign,Claude-Haiku-4.5,-0.41935355635359883,3,1000
56,0,A,Foreign,Claude-Haiku-4.5,-0.9876923782673354,3,966
56,1,A,Foreign,Claude-Haiku-4.5,-0.9656337667256594,4,1064
56,2,A,Foreign,Claude-Haiku-4.5,-0.8747588765108958,4,1111
57,0,A,Foreign,Claude-Haiku-4.5,-0.9749495233409107,3,968
57,1,A,Foreign,Claude-Haiku-4.5,-0.1643799366429448,4,1083
57,2,A,Foreign,Claude-Haiku-4.5,-0.8604020507385334,3,955
58,0,A,Foreign,Claude-Haiku-4.5,0.014141944324364886,4,1073
58,1,A,Foreign,Claude-Haiku-4.5,0.013549578783567995,4,1051
58,2,A,Foreign,Claude-Haiku-4.5,0.6472227027018865,3,1020
59,0,A,Foreign,Claude-Haiku-4.5,-0.09674549847841263,4,1066
59,1,A,Foreign,Claude-Haiku-4.5,0.3532094075344503,4,1120
