model,prompt,n_biz,n_for,biz_mean,for_mean,center,gap
NYT (real),NYT,40,40,-0.6870493976287616,-0.5927159997077494,-0.6398826986682555,-0.09433339792101225
GPT-4o-mini,A,40,40,0.08643364854898311,0.4434414910778287,0.2649375698134059,-0.3570078425288456
GPT-4o-mini,E,40,40,-0.1313141291295728,0.24483872257438227,0.05676229672240474,-0.37615285170395507
Gemini-2.5-Flash,A,40,40,-0.18753630047050035,0.10160883269115908,-0.04296373388967063,-0.28914513316165946
Gemini-2.5-Flash,E,40,40,-0.26278381180721533,-0.007524799484437811,-0.13515430564582656,-0.25525901232277753
